eufield,repfield,expunt,year,trt,spec,time,GDD,rep,run,site,siteyear,injury,count,biomass,biopercent,biored 
checkarl18a,1,1,2018,check,rad,0,0,1,1,arl,Arlington 2018,0,5,0.41,100,
checkarl18a,2,2,2018,check,fox,0,0,1,1,arl,Arlington 2018,0,3,0.12,100,
checkarl18a,3,3,2018,check,pal,0,0,1,1,arl,Arlington 2018,0,5,0.26,100,
checkarl18a,4,4,2018,check,rye,0,0,1,1,arl,Arlington 2018,0,5,0.16,100,
checkarl18b,1,5,2018,check,rad,0,0,2,1,arl,Arlington 2018,10,2,0.45,100,
checkarl18b,2,6,2018,check,fox,0,0,2,1,arl,Arlington 2018,5,4,0.22,100,
checkarl18b,3,7,2018,check,pal,0,0,2,1,arl,Arlington 2018,,,,,
checkarl18b,4,8,2018,check,rye,0,0,2,1,arl,Arlington 2018,2,4,0.34,100,
checkarl18c,1,9,2018,check,rad,0,0,3,1,arl,Arlington 2018,20,3,0.45,100,
checkarl18c,2,10,2018,check,fox,0,0,3,1,arl,Arlington 2018,5,6,0.3,100,
checkarl18c,3,11,2018,check,pal,0,0,3,1,arl,Arlington 2018,20,15,0.2,100,
checkarl18c,4,12,2018,check,rye,0,0,3,1,arl,Arlington 2018,5,4,0.21,100,
checkarl18d,1,13,2018,check,rad,0,0,4,1,arl,Arlington 2018,15,5,0.66,100,
checkarl18d,2,14,2018,check,fox,0,0,4,1,arl,Arlington 2018,,,,,
checkarl18d,3,15,2018,check,pal,0,0,4,1,arl,Arlington 2018,70,25,0.11,100,
checkarl18d,4,16,2018,check,rye,0,0,4,1,arl,Arlington 2018,60,5,0.17,100,
checkarl18a,1,17,2018,check,rad,10,191,1,1,arl,Arlington 2018,99,0,0.28,100,
checkarl18a,2,18,2018,check,fox,10,191,1,1,arl,Arlington 2018,90,3,0.03,100,
checkarl18a,3,19,2018,check,pal,10,191,1,1,arl,Arlington 2018,90,2,0.03,100,
checkarl18a,4,20,2018,check,rye,10,191,1,1,arl,Arlington 2018,80,1,0.03,100,
checkarl18b,1,21,2018,check,rad,10,191,2,1,arl,Arlington 2018,5,5,0.87,100,
checkarl18b,2,22,2018,check,fox,10,191,2,1,arl,Arlington 2018,0,5,0.3,100,
checkarl18b,3,23,2018,check,pal,10,191,2,1,arl,Arlington 2018,2,2,0.37,100,
checkarl18b,4,24,2018,check,rye,10,191,2,1,arl,Arlington 2018,3,4,0.2,100,
checkarl18c,1,25,2018,check,rad,10,191,3,1,arl,Arlington 2018,30,5,0.54,100,
checkarl18c,2,26,2018,check,fox,10,191,3,1,arl,Arlington 2018,25,1,0.22,100,
checkarl18c,3,27,2018,check,pal,10,191,3,1,arl,Arlington 2018,50,11,0.29,100,
